name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Monster Inside: America's Most Extreme Haunted House,"Documentary, Horror",--,1,78%,100+,,Documentary/Horror,2023,English,https://www.rottentomatoes.com/m/monster_inside_americas_most_extreme_haunted_house
Dungeons & Dragons: Honor Among Thieves,"Fantasy, Adventure, Action, Comedy",91%,312,93%,"2,500+",PG-13 (Some Language|Fantasy Action/Violence),2h 14m,2023,English,https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves
Stand,"Documentary, Sports",--,2,96%,Fewer,TVMA,1h 47m,2023,English,https://www.rottentomatoes.com/m/stand_2023
No Sudden Move,"Crime, Drama, Action",92%,142,58%,500+,R (Some Violence|Sexual References|Language Throughout),1h 55m,2021,English,https://www.rottentomatoes.com/m/no_sudden_move
Fin,"Adventure, Documentary, Nature",82%,11,89%,Fewer,,1h 30m,2021,English,https://www.rottentomatoes.com/m/fin_2021
Flamin' Hot,"Comedy, Drama, Biography",69%,127,89%,"1,000+",PG-13 (Some Strong Language|Brief Drug Material),2h 9m,2023,English,https://www.rottentomatoes.com/m/flamin_hot
Knights of the Zodiac,"Fantasy, Adventure, Action",21%,24,61%,100+,PG-13 (Action/Violence),1h 52m,2023,English,https://www.rottentomatoes.com/m/knights_of_the_zodiac
National Lampoon's Christmas Vacation,"Holiday, Comedy",70%,54,86%,"100,000+",PG-13,1h 37m,1989,English,https://www.rottentomatoes.com/m/national_lampoons_christmas_vacation
La La Land,"Musical, Romance, Comedy, Drama",91%,471,81%,"50,000+",PG-13 (Some Language),2h 8m,2016,English,https://www.rottentomatoes.com/m/la_la_land
Your Name,"Fantasy, Romance, Anime",--,1,97%,100+,PG (Smoking|Brief Language|Suggestive Content|Thematic Elements),1h 46m,2016,Japanese,https://www.rottentomatoes.com/m/your_name
Children of the Sea,"Adventure, Fantasy, Anime",62%,29,61%,50+,,1h 50m,2019,Japanese,https://www.rottentomatoes.com/m/children_of_the_sea_2020
Mulan,"Kids & family, Musical, Animation",86%,86,85%,"250,000+",G,1h 28m,1998,English,https://www.rottentomatoes.com/m/mulan
Wonder Woman 1984,"Action, Adventure, Fantasy",58%,451,73%,"2,500+",PG-13 (Violence|Sequences of Action),2h 31m,2020,English,https://www.rottentomatoes.com/m/wonder_woman_1984
Journey's End,"War, History, Drama",91%,103,72%,"1,000+",R (Some Language and War Images),1h 47m,2017,English (United Kingdom),https://www.rottentomatoes.com/m/journeys_end_2018
Pieces of April,"Comedy, Drama",84%,154,73%,"25,000+",PG-13 (Images of Nudity|Drug Content|Language|Sensuality),1h 21m,2003,English,https://www.rottentomatoes.com/m/pieces_of_april
The Killer,"Mystery & thriller, Action, Adventure, Crime",85%,250,60%,"1,000+",R (Strong Violence|Language|Brief Sexuality),1h 58m,2023,English,https://www.rottentomatoes.com/m/the_killer_2023
Miss Hokusai,"Biography, History, Drama, Anime",93%,58,70%,100+,PG-13 (Sexual Situations and Images|Mature Thematic Material),1h 33m,2015,Japanese,https://www.rottentomatoes.com/m/miss_hokusai
76 Days,Documentary,100%,100,84%,50+,,1h 33m,2020,Chinese,https://www.rottentomatoes.com/m/76_days
BlacKkKlansman,"Comedy, Drama, Crime",96%,449,83%,"10,000+",R (Language Throughout|Disturbing/Violent Material|Racial Epithets|Some Sexual References),2h 14m,2018,English,https://www.rottentomatoes.com/m/blackkklansman
Worth,"Drama, Biography",82%,99,76%,250+,PG-13 (Thematic Elements|Some Strong Language),1h 58m,2020,English,https://www.rottentomatoes.com/m/worth
The Little Things,"Mystery & thriller, Crime, Drama",45%,266,67%,"1,000+",R (Language|Full Nudity|Violent/Disturbing Images),2h 7m,2021,English,https://www.rottentomatoes.com/m/the_little_things_2021
Vox Lux,"Drama, Music",62%,254,37%,"1,000+",R (Language|Drug Content|Some Strong Violence),1h 50m,2018,English,https://www.rottentomatoes.com/m/vox_lux
Blood & Gold,"Action, Drama, War, Western",85%,13,67%,250+,,1h 40m,2023,German,https://www.rottentomatoes.com/m/blood_and_gold
Boys State,Documentary,95%,149,91%,100+,PG-13 (Some Strong Language|Thematic Elements),1h 49m,2020,English,https://www.rottentomatoes.com/m/boys_state
The Maze Runner,"Sci-fi, Adventure, Action, Mystery & thriller",65%,173,68%,"50,000+",PG-13 (Intense Seq. of Sci-Fi Violenc|Intense Seq. of Sci-Fi Action|Some Disturbing Images|Thematic Elements),1h 53m,2014,English,https://www.rottentomatoes.com/m/the_maze_runner
Jurassic World Dominion,"Action, Adventure, Sci-fi, Mystery & thriller",29%,403,77%,"10,000+",PG-13 (Language|Intense Sequences of Action|Some Violence),2h 27m,2022,English,https://www.rottentomatoes.com/m/jurassic_world_dominion
Dolemite Is My Name,"Biography, Comedy, Drama",97%,236,91%,100+,R (Pervasive Language|Graphic Nudity|Crude Sexual Content),1h 58m,2019,English,https://www.rottentomatoes.com/m/dolemite_is_my_name
Blade Runner 2049,"Sci-fi, Mystery & thriller",88%,444,88%,"25,000+",R (Nudity|Language|Some Sexuality|Violence),2h 44m,2017,English,https://www.rottentomatoes.com/m/blade_runner_2049
First Cow,"Western, Drama",96%,221,65%,500+,PG-13 (Brief Strong Language),2h 2m,2019,English,https://www.rottentomatoes.com/m/first_cow
Devotion,"War, History, Drama, Action",81%,123,92%,"1,000+",PG-13,2h 19m,2022,English,https://www.rottentomatoes.com/m/devotion_2022
Raya and the Last Dragon,"Kids & family, Fantasy, Adventure, Animation",93%,303,97%,"2,500+",PG (Some Violence|Action|Thematic Elements),1h 48m,2021,English,https://www.rottentomatoes.com/m/raya_and_the_last_dragon
Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",94%,403,86%,"5,000+",R (Sexual Material|Language|Some Violence),2h 12m,2022,English,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once
Mister Organ,Documentary,95%,43,100%,Fewer,,1h 36m,2022,English (Australia),https://www.rottentomatoes.com/m/mister_organ
Bullet Train,"Action, Comedy",54%,340,76%,"5,000+",R (Pervasive Language|Brief Sexuality|Strong and Bloody Violence),2h 6m,2022,English,https://www.rottentomatoes.com/m/bullet_train_2022
Enola Holmes 2,"Mystery & thriller, Drama, Action, Adventure, Crime",93%,104,79%,"1,000+",PG-13 (Bloody Images|Some Violence),2h 9m,2022,English,https://www.rottentomatoes.com/m/enola_holmes_2
The Last Kingdom: Seven Kings Must Die,"Action, History, Drama",82%,17,71%,500+,,2h 0m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/the_last_kingdom_seven_kings_must_die
Satanic Hispanics,Horror,91%,33,44%,Fewer,R (Bloody Violence and Gore|Some Sexual Material|Language Throughout),1h 45m,2022,English,https://www.rottentomatoes.com/m/satanic_hispanics
The Pale Blue Eye,"Mystery & thriller, Drama",63%,189,69%,"1,000+",R (Bloody Images|Some Violent Content),2h 10m,2022,English,https://www.rottentomatoes.com/m/the_pale_blue_eye
Love & Other Drugs,"Drama, Romance, Comedy",49%,170,53%,"50,000+",R (Pervasive Language|Nudity|Some Drug Material|Strong Sexual Content),1h 52m,2010,English,https://www.rottentomatoes.com/m/love-and-other-drugs
Gladiator,"History, Drama, Adventure, Action",80%,257,87%,"250,000+",R (Intense Graphic Combat),2h 34m,2000,English,https://www.rottentomatoes.com/m/gladiator
The Good Mother,"Mystery & thriller, Crime, Drama",21%,52,35%,Fewer,R (Some Violent Content|Language Throughout|Drug Material),1h 29m,2023,English,https://www.rottentomatoes.com/m/the_good_mother
Transformers: Rise of the Beasts,"Action, Adventure, Sci-fi, Fantasy",52%,231,91%,"5,000+",PG-13 (Language|Intense Sci-Fi Action|Violence),2h 7m,2023,English,https://www.rottentomatoes.com/m/transformers_rise_of_the_beasts
"The Hunger Games: Mockingjay, Part 1","Sci-fi, Action, Adventure",70%,306,71%,"100,000+",PG-13 (Intense Sequences of Violence|Intense Sequences of Action|Some Disturbing Images|Thematic Material),2h 3m,2014,English,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay_part_1
Fifty Shades of Grey,"Romance, Drama",25%,281,41%,"50,000+",R (Language|Graphic Nudity|Sexual Dialogue|Some Unusual Behavior|Strong Sexual Content),2h 5m,2015,English,https://www.rottentomatoes.com/m/fifty_shades_of_grey
Single All the Way,"Holiday, Romance, Comedy, Lgbtq+",68%,28,67%,250+,,1h 39m,2021,English,https://www.rottentomatoes.com/m/single_all_the_way
Maxine's Baby: The Tyler Perry Story,"Biography, Documentary",88%,8,93%,Fewer,PG-13,1h 55m,2023,English,https://www.rottentomatoes.com/m/maxines_baby_the_tyler_perry_story
A Christmas Story,"Kids & family, Holiday, Comedy",89%,61,89%,"250,000+",PG,1h 33m,1983,English,https://www.rottentomatoes.com/m/1004151-christmas_story
Homecoming: A Film by Beyoncé,"Documentary, Biography, Music",98%,57,87%,"1,000+",,2h 17m,2019,English,https://www.rottentomatoes.com/m/homecoming_a_film_by_beyonce
Toy Story 4,"Kids & family, Comedy, Adventure, Fantasy, Animation",97%,460,94%,"50,000+",G,1h 40m,2019,English,https://www.rottentomatoes.com/m/toy_story_4
Men,"Horror, Drama, Sci-fi",69%,266,40%,250+,R (Graphic Nudity|Disturbing and Violent Content|Grisly Images|Language),1h 40m,2022,English,https://www.rottentomatoes.com/m/men_2022
The Pope's Exorcist,"Horror, Mystery & thriller",49%,100,81%,500+,R (Sexual References|Language|Some Nudity|Violent Content),1h 43m,2023,English,https://www.rottentomatoes.com/m/the_popes_exorcist
Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",94%,557,90%,"50,000+",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),3h 1m,2019,English,https://www.rottentomatoes.com/m/avengers_endgame
Brooklyn 45,"History, Drama, Horror, Mystery & thriller",90%,70,45%,50+,,1h 32m,2023,English,https://www.rottentomatoes.com/m/brooklyn_45
12 Strong,"War, Drama",50%,173,62%,"5,000+",R (War Violence|Language Throughout),2h 10m,2018,English,https://www.rottentomatoes.com/m/12_strong
Bank of Dave,"Comedy, Biography, Drama",85%,33,89%,Fewer,PG-13 (Some Strong Language),1h 47m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/bank_of_dave
Silence,"History, Drama",83%,289,70%,"25,000+",R (Disturbing Violent Content),2h 41m,2016,English,https://www.rottentomatoes.com/m/silence_2017
Strange World,"Kids & family, Comedy, Adventure, Fantasy, Animation, Action",72%,168,66%,500+,PG (Some Thematic Elements|Action/Peril),1h 45m,2022,English,https://www.rottentomatoes.com/m/strange_world
Shrek 2,"Kids & family, Comedy, Fantasy, Animation",89%,239,69%,"250,000+",PG (Some Crude Humor|A Brief Substance Reference|Some Suggestive Content),1h 32m,2004,English,https://www.rottentomatoes.com/m/shrek_2
M*A*S*H,"Comedy, War",84%,58,83%,"50,000+",R,1h 56m,1970,English,https://www.rottentomatoes.com/m/mash
Sing,"Kids & family, Musical, Comedy, Animation",71%,189,73%,"25,000+",PG (Some Rude Humor|Mild Peril),1h 48m,2016,English,https://www.rottentomatoes.com/m/sing_2016
The Lord of the Rings: The Fellowship of the Ring,"Fantasy, Adventure",91%,235,95%,"250,000+",PG-13 (Some Scary Images|Epic Battle Sequences),2h 58m,2001,English,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring
Bad Axe,Documentary,96%,48,100%,50+,,1h 42m,2022,English,https://www.rottentomatoes.com/m/bad_axe
Black Widow,"Action, Adventure",79%,457,91%,"10,000+",PG-13 (Some Language|Intense Violence/Action|Thematic Material),2h 13m,2021,English,https://www.rottentomatoes.com/m/black_widow_2021
Aftersun,Drama,96%,241,81%,"1,000+",R (Some Language|Brief Sexual Material),1h 41m,2022,English (United Kingdom),https://www.rottentomatoes.com/m/aftersun
Lion,"Drama, Biography",84%,269,91%,"25,000+",PG-13 (Thematic Material|Some Sensuality),2h 1m,2016,English,https://www.rottentomatoes.com/m/lion_2016
Almost Famous,"Comedy, Drama, Music",89%,177,92%,"250,000+",R (Drug Content|Brief Nudity|Language),2h 2m,2000,English,https://www.rottentomatoes.com/m/almost_famous
Terminator 2: Judgment Day,"Sci-fi, Action, Mystery & thriller",91%,87,95%,"250,000+",R (Strong Sci-Fi Action|Language|Violence),2h 16m,1991,English,https://www.rottentomatoes.com/m/terminator_2_judgment_day
The House That Rob Built,"Documentary, Sports & fitness",88%,8,--,Fewer,,59m,2020,English,https://www.rottentomatoes.com/m/the_house_that_rob_built
Hot Girls Wanted,Documentary,83%,12,54%,"1,000+",,1h 24m,2015,English,https://www.rottentomatoes.com/m/hot_girls_wanted_2015
The Nutcracker and the Four Realms,"Kids & family, Holiday, Fantasy, Adventure",32%,205,34%,"1,000+",PG (Some Mild Peril),1h 39m,2018,English,https://www.rottentomatoes.com/m/the_nutcracker_and_the_four_realms
Black Clover: Sword of the Wizard King,"Fantasy, Action, Anime",86%,7,96%,"1,000+",,1h 50m,2023,Japanese,https://www.rottentomatoes.com/m/black_clover_sword_of_the_wizard_king
King Richard,"Biography, Drama",90%,299,98%,"1,000+",PG-13 (Brief Drug References|A Sexual Reference|Some Violence|Strong Language),2h 26m,2021,English,https://www.rottentomatoes.com/m/king_richard
Godzilla,"Sci-fi, Action, Adventure",76%,330,66%,"100,000+",PG-13 (Intense Seq. of Destruction|Creature Violence|Mayhem),2h 3m,2014,English,https://www.rottentomatoes.com/m/godzilla_2014
Bama Rush,Documentary,89%,9,13%,250+,,1h 41m,2023,English,https://www.rottentomatoes.com/m/bama_rush
Almost Christmas,"Holiday, Comedy, Drama",49%,69,64%,"5,000+",PG-13 (Language|Drug Content|Suggestive Material),1h 52m,2016,English,https://www.rottentomatoes.com/m/almost_christmas_2016
Flags of Our Fathers,"War, History, Drama",76%,240,69%,"250,000+",R (Language|Graphic War Violence & Carnage),2h 12m,2006,English,https://www.rottentomatoes.com/m/flags_of_our_fathers
Mr. & Mrs. Smith,"Action, Romance, Comedy",60%,212,58%,"250,000+",PG-13 (Intense Action|Brief Strong Language|Sequences of Violence|Sexual Content),2h 0m,2005,English,https://www.rottentomatoes.com/m/mr_and_mrs_smith
The Harder They Fall,"Western, Drama",88%,198,93%,50+,R (Strong Violence and Language),2h 17m,2021,English,https://www.rottentomatoes.com/m/the_harder_they_fall
Uncut Gems,"Mystery & thriller, Comedy",91%,350,52%,"10,000+",R (Pervasive Strong Language|Brief Drug Use|Some Sexual Content|Violence),2h 15m,2019,English,https://www.rottentomatoes.com/m/uncut_gems
Shane,Western,97%,37,81%,"10,000+",,1h 58m,1953,English,https://www.rottentomatoes.com/m/shane
Take Care of Maya,Documentary,92%,13,95%,250+,,1h 43m,2023,English,https://www.rottentomatoes.com/m/take_care_of_maya
Ponyo,"Adventure, Fantasy, Anime",91%,174,83%,"50,000+",G,1h 40m,2008,Japanese,https://www.rottentomatoes.com/m/ponyo
Queen of Katwe,"Biography, Drama",94%,189,86%,"5,000+",PG (Some Suggestive Material|An Accident Scene|Thematic Elements),2h 4m,2016,English,https://www.rottentomatoes.com/m/queen_of_katwe_2016
Toy Story 2,"Kids & family, Comedy, Adventure, Fantasy, Animation",100%,172,87%,"250,000+",G,1h 32m,1999,English,https://www.rottentomatoes.com/m/toy_story_2
Pokémon the Movie: Mewtwo Strikes Back Evolution,"Kids & family, Adventure, Action, Anime",44%,9,47%,100+,,1h 38m,2019,Japanese,https://www.rottentomatoes.com/m/pokemon_the_movie_mewtwo_strikes_back_evolution
Vesper,"Sci-fi, Mystery & thriller",91%,67,59%,250+,,1h 54m,2022,English,https://www.rottentomatoes.com/m/vesper_2022
Dashing Through the Snow,"Kids & family, Holiday, Comedy, Adventure, Fantasy",42%,12,75%,50+,PG,1h 30m,2023,English,https://www.rottentomatoes.com/m/dashing_through_the_snow
Brooklyn,"Romance, History, Drama",97%,279,87%,"25,000+",PG-13 (Brief Strong Language|A Scene of Sexuality),1h 52m,2015,English (United Kingdom),https://www.rottentomatoes.com/m/brooklyn
Pain Hustlers,"Crime, Drama",23%,108,67%,250+,R (Some Sexual Content|Drug Use|Nudity|Language Throughout),2h 2m,2023,English,https://www.rottentomatoes.com/m/pain_hustlers
Mary Poppins,"Kids & family, Musical",96%,56,86%,"250,000+",G,2h 20m,1964,English,https://www.rottentomatoes.com/m/mary_poppins
The Prom,"Musical, Comedy, Lgbtq+",54%,213,62%,"1,000+",PG-13 (Suggestive/Sexual References|Language|Thematic Elements),2h 11m,2020,English,https://www.rottentomatoes.com/m/the_prom_2020
Dicks: The Musical,"Musical, Comedy",68%,95,67%,50+,R (Pervasive Language|Graphic Nudity|Brief Drug Use|Strong Crude Sexual Content),1h 26m,2023,English,https://www.rottentomatoes.com/m/dicks_the_musical
My Fair Lady,Musical,95%,91,90%,"100,000+",G,2h 50m,1964,English,https://www.rottentomatoes.com/m/my_fair_lady
Disenchanted,"Kids & family, Fantasy, Adventure, Romance, Musical",38%,101,51%,500+,PG (Mild Peril and Language),2h 1m,2022,English,https://www.rottentomatoes.com/m/disenchanted_2022
Chicago,"Musical, Drama",86%,263,83%,"250,000+",PG-13 (Sexual Dialogue|Sexual Content|Thematic Elements|Violence),1h 53m,2002,English,https://www.rottentomatoes.com/m/chicago
Footloose,"Comedy, Drama, Musical",68%,173,61%,"50,000+",PG-13 (Sexual Content|Language|Some Teen Alcohol Use|Some Teen Drug Use|Violence),1h 53m,2011,English,https://www.rottentomatoes.com/m/footloose-2010
Roald Dahl's Matilda the Musical,"Kids & family, Musical, Comedy, Drama, Fantasy",93%,94,73%,"1,000+",PG (Exaggerated Bullying|Thematic Elements|Some Language),1h 57m,2022,English,https://www.rottentomatoes.com/m/roald_dahls_matilda_the_musical
Eurovision Song Contest: The Story of Fire Saga,"Musical, Comedy",63%,183,77%,"2,500+",PG-13 (Language|Crude Sexual Material),2h 0m,2020,English,https://www.rottentomatoes.com/m/eurovision_song_contest_the_story_of_fire_saga
Funny Girl,Musical,94%,48,85%,"10,000+",G,2h 31m,1968,English,https://www.rottentomatoes.com/m/funny_girl
Pitch Perfect 3,"Musical, Comedy",28%,151,43%,"10,000+",PG-13 (Language|Crude and Sexual Content|Some Action),1h 34m,2017,English,https://www.rottentomatoes.com/m/pitch_perfect_3
Dreamgirls,"Musical, Drama",79%,207,71%,"250,000+",PG-13 (Language|Drug Content|Some Sexuality),2h 11m,2006,English,https://www.rottentomatoes.com/m/dreamgirls
Status Update,"Comedy, Musical, Romance",0%,5,49%,250+,PG-13 (Some Teen Partying|Language|Crude and Suggestive Humor),1h 46m,2018,English,https://www.rottentomatoes.com/m/status_update
Zombies 3,"Adventure, Musical",75%,8,60%,100+,,1h 31m,2022,English,https://www.rottentomatoes.com/m/zombies_3
Music,"Musical, Drama",7%,57,14%,"1,000+",PG-13 (Drug Material|Brief Violence|Strong Language|Thematic Content),1h 47m,2021,English,https://www.rottentomatoes.com/m/music
Dear Evan Hansen,"Musical, Drama",29%,280,88%,"1,000+",PG-13 (Some Suggestive References|Brief Strong Language|Suicide|Thematic Material),2h 17m,2021,English,https://www.rottentomatoes.com/m/dear_evan_hansen
Aladdin,"Kids & family, Musical, Comedy, Adventure, Fantasy, Animation",95%,79,92%,"250,000+",G,1h 30m,1992,English,https://www.rottentomatoes.com/m/disneys_aladdin
Monster High: The Movie,"Kids & family, Musical, Comedy, Fantasy",83%,6,49%,500+,,1h 20m,2022,Zulu,https://www.rottentomatoes.com/m/monster_high_the_movie
